,año,particulares,aseguradoras,aseguradoras_enfermedad,aseguradoreas_trafico,mutuas,ncodi,tipo_id
47775,2011,126409.0,1732571.0,1732287.0,284.0,0.0,280,3
47776,2011,0.0,0.0,0.0,0.0,0.0,222,3
47777,2011,0.0,0.0,0.0,0.0,0.0,276,3
47778,2011,0.0,0.0,0.0,0.0,0.0,11,3
47779,2011,0.0,0.0,0.0,0.0,0.0,302,3
47780,2011,56937.0,457449.0,441944.0,15505.0,0.0,682,3
47781,2011,2048545.0,6399041.0,6399041.0,0.0,0.0,279,3
47782,2011,0.0,0.0,0.0,0.0,0.0,282,3
47783,2011,0.0,0.0,0.0,0.0,0.0,281,3
47784,2011,0.0,0.0,0.0,0.0,0.0,183,3
47785,2011,0.0,0.0,0.0,0.0,0.0,610,3
47786,2011,0.0,0.0,0.0,0.0,0.0,116,3
47787,2011,0.0,0.0,0.0,0.0,0.0,115,3
47788,2011,0.0,0.0,0.0,0.0,0.0,114,3
47789,2011,0.0,0.0,0.0,0.0,0.0,126,3
47790,2011,0.0,0.0,0.0,0.0,0.0,119,3
47791,2011,8559.0,189329.0,189329.0,0.0,91984.0,770,3
47792,2011,2880.0,3649.0,513.0,3136.0,0.0,583,3
47793,2011,0.0,0.0,0.0,0.0,0.0,136,3
47794,2011,4031.0,7505.0,7505.0,0.0,0.0,469,3
47795,2011,0.0,0.0,0.0,0.0,0.0,642,3
47796,2011,16557.0,342213.0,332774.0,9439.0,0.0,674,3
47797,2011,0.0,0.0,0.0,0.0,0.0,193,3
47798,2011,48600.0,72000.0,43200.0,28800.0,0.0,526,3
47799,2011,0.0,0.0,0.0,0.0,0.0,698,3
47800,2011,0.0,0.0,0.0,0.0,0.0,630,3
47801,2011,0.0,0.0,0.0,0.0,0.0,124,3
47802,2011,0.0,0.0,0.0,0.0,0.0,364,3
47803,2011,0.0,0.0,0.0,0.0,0.0,604,3
47804,2011,0.0,0.0,0.0,0.0,0.0,123,3
47805,2011,0.0,0.0,0.0,0.0,0.0,310,3
47806,2011,0.0,0.0,0.0,0.0,0.0,571,3
47807,2011,0.0,0.0,0.0,0.0,0.0,296,3
47808,2011,0.0,0.0,0.0,0.0,0.0,566,3
47809,2011,0.0,43901.0,2141.0,41760.0,825.0,784,3
47810,2011,0.0,0.0,0.0,0.0,0.0,102,3
47811,2011,0.0,0.0,0.0,0.0,0.0,379,3
47812,2011,0.0,0.0,0.0,0.0,0.0,639,3
47813,2011,0.0,0.0,0.0,0.0,0.0,457,3
47814,2011,651955.0,9328027.0,9328027.0,0.0,300727.0,609,3
47815,2011,0.0,0.0,0.0,0.0,0.0,101,3
47816,2011,1956.0,60551.0,60551.0,0.0,0.0,454,3
47817,2011,0.0,0.0,0.0,0.0,0.0,318,3
47818,2011,0.0,0.0,0.0,0.0,0.0,600,3
47819,2011,0.0,0.0,0.0,0.0,184.0,545,3
47820,2011,0.0,0.0,0.0,0.0,0.0,100,3
47821,2011,0.0,0.0,0.0,0.0,0.0,702,3
47822,2011,0.0,0.0,0.0,0.0,0.0,778,3
47823,2011,30150.0,35290.0,35290.0,0.0,8650.0,341,3
47824,2011,0.0,0.0,0.0,0.0,0.0,99,3
47825,2011,0.0,0.0,0.0,0.0,0.0,767,3
47826,2011,740.0,22922.0,22922.0,0.0,0.0,359,3
47827,2011,0.0,0.0,0.0,0.0,0.0,98,3
47828,2011,0.0,0.0,0.0,0.0,0.0,132,3
47829,2011,0.0,0.0,0.0,0.0,0.0,97,3
47830,2011,0.0,0.0,0.0,0.0,0.0,103,3
47831,2011,0.0,0.0,0.0,0.0,0.0,110,3
47832,2011,0.0,0.0,0.0,0.0,0.0,94,3
47833,2011,0.0,0.0,0.0,0.0,0.0,91,3
47834,2011,2020.0,54540.0,26260.0,28280.0,2020.0,664,3
47835,2011,0.0,0.0,0.0,0.0,0.0,918,3
47836,2011,0.0,0.0,0.0,0.0,0.0,92,3
47837,2011,0.0,0.0,0.0,0.0,0.0,93,3
47838,2011,0.0,0.0,0.0,0.0,0.0,95,3
47839,2011,0.0,0.0,0.0,0.0,0.0,96,3
47840,2011,264455.0,378744.0,378744.0,0.0,0.0,301,3
47841,2011,0.0,0.0,0.0,0.0,0.0,492,3
47842,2011,0.0,0.0,0.0,0.0,0.0,811,3
47843,2011,0.0,0.0,0.0,0.0,0.0,812,3
47844,2011,0.0,0.0,0.0,0.0,0.0,832,3
47845,2011,0.0,0.0,0.0,0.0,0.0,841,3
47846,2011,0.0,0.0,0.0,0.0,0.0,856,3
47847,2011,0.0,0.0,0.0,0.0,0.0,859,3
47848,2011,0.0,0.0,0.0,0.0,0.0,861,3
47849,2011,0.0,0.0,0.0,0.0,0.0,880,3
47850,2011,0.0,0.0,0.0,0.0,0.0,883,3
47851,2011,0.0,0.0,0.0,0.0,0.0,884,3
47852,2011,0.0,0.0,0.0,0.0,0.0,877,3
47853,2011,0.0,0.0,0.0,0.0,0.0,911,3
47854,2011,0.0,0.0,0.0,0.0,0.0,913,3
47855,2011,3450284.0,1784201.0,1784201.0,0.0,0.0,922,3
47856,2011,0.0,0.0,0.0,0.0,0.0,923,3
47857,2011,0.0,0.0,0.0,0.0,0.0,924,3
47858,2011,0.0,0.0,0.0,0.0,0.0,947,3
47859,2011,0.0,0.0,0.0,0.0,0.0,951,3
47860,2011,0.0,0.0,0.0,0.0,0.0,972,3
47861,2011,48180.0,134412.0,134412.0,0.0,4638.0,973,3
47862,2011,0.0,0.0,0.0,0.0,0.0,974,3
47863,2011,0.0,0.0,0.0,0.0,0.0,975,3
47864,2011,0.0,0.0,0.0,0.0,0.0,960,3
47865,2011,0.0,0.0,0.0,0.0,0.0,1027,3
47866,2011,0.0,0.0,0.0,0.0,0.0,1028,3
47867,2011,0.0,0.0,0.0,0.0,0.0,976,3
47868,2011,0.0,0.0,0.0,0.0,0.0,977,3
47869,2011,0.0,0.0,0.0,0.0,0.0,1020,3
47870,2011,0.0,0.0,0.0,0.0,0.0,994,3
47871,2011,0.0,0.0,0.0,0.0,0.0,995,3
47872,2011,0.0,0.0,0.0,0.0,0.0,1060,3
47873,2011,0.0,0.0,0.0,0.0,0.0,1005,3
47874,2011,0.0,0.0,0.0,0.0,0.0,1061,3
47875,2011,0.0,0.0,0.0,0.0,0.0,1006,3
47876,2011,0.0,0.0,0.0,0.0,0.0,1088,3
47877,2011,252649.0,63355.0,63355.0,0.0,0.0,1089,3
47878,2011,0.0,0.0,0.0,0.0,0.0,1076,3
47879,2011,0.0,0.0,0.0,0.0,0.0,1078,3
47880,2011,0.0,0.0,0.0,0.0,0.0,1033,3
47881,2011,0.0,0.0,0.0,0.0,0.0,1036,3
47882,2011,0.0,0.0,0.0,0.0,0.0,1037,3
47883,2011,0.0,0.0,0.0,0.0,0.0,1039,3
47884,2011,0.0,0.0,0.0,0.0,0.0,1065,3
47885,2011,140136.0,1867759.0,1867759.0,0.0,124080.0,1066,3
47886,2011,46522.0,491275.0,491275.0,0.0,132483.0,207,3
47887,2011,0.0,0.0,0.0,0.0,0.0,431,3
47888,2011,0.0,0.0,0.0,0.0,0.0,387,3
47889,2011,,0.0,,,,179,3
47890,2011,1127.0,2920.0,,2920.0,984.0,606,3
47891,2011,0.0,0.0,0.0,0.0,0.0,925,3
47892,2011,,0.0,,,,541,3
47893,2011,0.0,0.0,0.0,0.0,0.0,797,3
47894,2011,0.0,0.0,0.0,0.0,0.0,627,3
47895,2011,0.0,0.0,0.0,0.0,0.0,173,3
47896,2011,0.0,0.0,0.0,0.0,0.0,636,3
47897,2011,0.0,0.0,0.0,0.0,0.0,205,3
47898,2011,0.0,0.0,,,,814,3
47899,2011,0.0,0.0,0.0,0.0,0.0,881,3
47900,2011,0.0,17584.0,17584.0,0.0,25125.0,771,3
47901,2011,,0.0,,,,533,3
47902,2011,24159.0,135348.0,96990.0,38358.0,15807.0,447,3
47903,2011,0.0,0.0,0.0,0.0,0.0,815,3
47904,2011,0.0,0.0,0.0,0.0,0.0,801,3
47905,2011,0.0,0.0,0.0,0.0,0.0,800,3
47906,2011,51388.0,168865.0,115886.0,52979.0,17129.0,389,3
47907,2011,0.0,0.0,0.0,0.0,0.0,759,3
47908,2011,0.0,0.0,0.0,0.0,0.0,695,3
47909,2011,1195.0,13674.0,6498.0,7176.0,5098.0,816,3
47910,2011,6297.0,25593.0,12628.0,12965.0,9376.0,833,3
47911,2011,0.0,0.0,0.0,0.0,0.0,870,3
47912,2011,0.0,0.0,0.0,0.0,0.0,927,3
47913,2011,0.0,0.0,0.0,0.0,0.0,961,3
47914,2011,0.0,0.0,0.0,0.0,0.0,962,3
47915,2011,0.0,0.0,0.0,0.0,0.0,1079,3
47916,2011,0.0,950.0,950.0,0.0,0.0,666,3
47917,2011,0.0,0.0,0.0,0.0,0.0,392,3
47918,2011,9965.0,65232.0,65232.0,0.0,0.0,790,3
47919,2011,0.0,0.0,0.0,0.0,0.0,650,3
47920,2011,940.0,0.0,0.0,0.0,0.0,876,3
47921,2011,46456.0,0.0,0.0,0.0,0.0,944,3
47922,2011,953149.0,4511746.0,4511746.0,0.0,0.0,952,3
47923,2011,,0.0,,,,54,3
47924,2011,0.0,0.0,0.0,0.0,0.0,538,3
47925,2011,0.0,0.0,0.0,0.0,0.0,557,3
47926,2011,0.0,0.0,0.0,0.0,0.0,653,3
47927,2011,0.0,0.0,0.0,0.0,0.0,647,3
47928,2011,33553.0,599196.0,599196.0,,918.0,208,3
47929,2011,0.0,697.0,697.0,0.0,2090.0,978,3
47930,2011,0.0,0.0,0.0,0.0,0.0,996,3
47931,2011,0.0,0.0,0.0,0.0,0.0,729,3
47932,2011,0.0,105905.0,105905.0,0.0,2700.0,182,3
47933,2011,0.0,0.0,0.0,0.0,0.0,633,3
47934,2011,0.0,0.0,0.0,0.0,0.0,685,3
